name,SSN,sex
蓋兒加朵,290069343193019396464362876124965547712,男
蓋瑞歐德曼,122846194023226263289233823757233636813,女
蕾哈柯達雅里,159159026694409805204503230505702828331,女
薩瑪拉威明,260179112449296378660237461117030641018,男
薩瑪拉薇文,267936706864353256572075948947656657629,女
薩維卡恰雅德,186127430416892875540723921213931404856,男
蘭妲米契爾,242897011659320054925477634934825487438,男
蜜雪兒威廉斯,10475196896713225612887557947721506625,女
西恩楊,90204611438986410934587527095688010789,女
詹姆士諾頓,185488944133719511940616929643115095945,女
貝吉特米妮克美爾,16838159870778085298536713584773617181,女
費雯麗,171976414677323338754538920357749664477,女
連恩尼遜,182524752874034370531663365179677998064,男
道格瑞史考特,16575517875528174547480155804057181112,男
達柯塔強生,109410275879254245880094066517977400703,女
郭曉東,55552939919184477928893922533281488396,男
金凱利,226154296328203000557128089526154344320,男
陳家樂,327893775531832796811622403783422265217,女
陳沖,322517655782991216336340970300942340460,男
陳莘太,110743194435209954429339471325259819861,女
雷米馬利克,101383461900972028527821871859549663010,男
露易莎沃蕾許,137863968170530971335935439736334222358,男
露西波頓,210602423336142116537121304304563836031,女
鞏俐,49705262341475173734474243089920989102,男
馬克歐布萊恩,268242162857193436811960844519865683629,女
馬力歐莫瑞爾,142144365705598237510475933099938383084,男
馬龍白蘭度,295002017094914161419421825256903900489,女
麥茜威廉士,249532651702174430722462060776397114003,女
黃璐,254941152995110529734717103366532981382,男
黃秋生,254281035198068925543357862368406501522,男
黃軒,318567311890412684315584182020627203764,男
黛比雷諾,27912916513431206106140437402572166966,男
齋藤工,312072326637517258829203889784260514129,女
